Lugo,Oviedo,1,0,,,,,,,1,,,,,,,,,23/02/2020,11:00
Zaragoza,LaCoruna,3,1,,,,,,,1,,,,,,,,,23/02/2020,15:00
Extremadura,Mirandes,3,2,,,,,,,1,,,,,,,,,23/02/2020,17:15
Malaga,Santander,2,0,,,,,,,1,,,,,,,,,23/02/2020,17:15
Vallecano,Huesca,2,0,,,,,,,1,,,,,,,,,23/02/2020,20:00
LasPalmas,Malaga,1,1,,,,,,,2,,,,,,,,,28/02/2020,20:00
Huesca,Extremadura,2,2,,,,,,,2,,,,,,,,,29/02/2020,15:00
Ponferradina,Gijon,1,0,,,,,,,1,,,,,,,,,29/02/2020,15:00
Cadiz,Almeria,2,1,,,,,,,1,,,,,,,,,29/02/2020,17:15
Albacete,Vallecano,1,1,,,,,,,2,,,,,,,,,29/02/2020,19:30
Santander,Zaragoza,2,2,,,,,,,2,,,,,,,,,29/02/2020,20:00
Mirandes,Girona,1,1,,,,,,,2,,,,,,,,,01/03/2020,11:00
Elche,Numancia,2,0,,,,,,,1,,,,,,,,,01/03/2020,15:00
LaCoruna,Lugo,0,0,,,,,,,2,,,,,,,,,01/03/2020,15:00
Fuenlabrada,Alcorcon,3,4,,,,,,,3,,,,,,,,,01/03/2020,17:15
Oviedo,Tenerife,1,0,,,,,,,1,,,,,,,,,01/03/2020,17:15
