Dijon,Troyes,3,1,,,,2,3.6,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/11/17,,,1.9,,3.43,,4.2
Guingamp,Angers,1,1,,,,2.33,3.5,3.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/11/17,,,2.26,,3.29,,3.23
PSG,Nantes,4,1,,,,1.12,13.28,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/11/17,,,1.1,,10.16,,23.64
Strasbourg,Rennes,2,1,,,,2.4,3.3,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/11/17,,,2.24,,3.19,,3.37
Toulouse,Metz,0,0,,,,1.77,3.75,5.61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/11/17,,,1.72,,3.56,,5.16
Bordeaux,Marseille,1,1,,,,2.45,3.55,3.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/11/17,,,2.31,,3.35,,3.08
Caen,Nice,1,1,,,,2.7,3.21,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/11/17,,,2.6,,3.11,,2.85
Lyon,Montpellier,0,0,,,,1.44,5.2,9.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/11/17,,,1.39,,4.72,,8.09
Amiens,Lille,3,0,,,,3.06,3.27,2.76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/11/17,,,2.85,,3.11,,2.64
SaintEtienne,Strasbourg,2,2,,,,2.02,3.62,4.28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/11/17,,,1.94,,3.45,,3.97
Caen,Bordeaux,1,0,,,,3.4,3.3,2.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/17,,,3.27,,3.15,,2.29
Dijon,Toulouse,3,1,,,,2.35,3.25,3.46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/17,,,2.27,,3.17,,3.29
Metz,Amiens,0,2,,,,2.5,3.25,3.33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/17,,,2.4,,3.1,,3.12
Montpellier,Lille,3,0,,,,2.22,3.25,4.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/17,,,2.15,,3.14,,3.61
Rennes,Nantes,2,1,,,,2.57,3.1,3.45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/17,,,2.43,,2.98,,3.19
Troyes,Angers,3,0,,,,3.3,3.32,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/17,,,3.1,,3.18,,2.37
Marseille,Guingamp,1,0,,,,1.57,4.5,6.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/11/17,,,1.51,,4.24,,6.09
Monaco,PSG,1,2,,,,6,4.8,1.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/11/17,,,5.28,,4.43,,1.55
Nice,Lyon,0,5,,,,3.33,3.75,2.26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/11/17,,,3.18,,3.51,,2.17
Amiens,Dijon,2,1,,,,2.42,3.26,3.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/11/17,,,2.34,,3.15,,3.21
Bordeaux,SaintEtienne,3,0,,,,1.84,3.55,5.45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/11/17,,,1.79,,3.4,,4.94
Strasbourg,Caen,0,0,,,,2.1,3.5,4.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/11/17,,,2.02,,3.33,,3.8
Angers,Rennes,1,2,,,,2.2,3.3,4.14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/11/17,,,2.09,,3.2,,3.75
Guingamp,Montpellier,0,0,,,,2.55,3.25,3.27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/11/17,,,2.43,,3.08,,3.11
