Monaco,Dijon,3,0,None,None,None,2021-04-11T15:05:00Z
Lens,Lorient,4,1,None,None,None,2021-04-11T13:00:00Z
Lyon,Angers,3,0,None,None,None,2021-04-11T19:00:00Z
Angers,Rennes,0,3,None,None,None,2021-04-17T10:45:00Z
Lille,Montpellier,1,1,None,None,None,2021-04-16T19:00:00Z
PSG,SaintEtienne,3,2,None,None,None,2021-04-18T11:00:00Z
Marseille,Lorient,3,2,None,None,None,2021-04-17T15:00:00Z
Brest,Lens,1,1,None,None,None,2021-04-18T13:00:00Z
Dijon,Nice,2,0,None,None,None,2021-04-18T13:00:00Z
Reims,Metz,0,0,None,None,None,2021-04-18T13:00:00Z
Nimes,Strasbourg,1,1,None,None,None,2021-04-18T13:00:00Z
Reims,Marseille,1,3,None,None,None,2021-04-23T19:00:00Z
Bordeaux,Monaco,0,3,None,None,None,2021-04-18T15:05:00Z
Nantes,Lyon,1,2,None,None,None,2021-04-18T19:00:00Z
SaintEtienne,Brest,1,2,None,None,None,2021-04-24T11:00:00Z
Metz,PSG,1,3,None,None,None,2021-04-24T15:00:00Z
Lorient,Bordeaux,4,1,None,None,None,2021-04-25T13:00:00Z
Rennes,Dijon,5,1,None,None,None,2021-04-25T13:00:00Z
Nice,Montpellier,3,1,None,None,None,2021-04-25T11:00:00Z
Lens,Nimes,2,1,None,None,None,2021-04-25T13:00:00Z
Strasbourg,Nantes,1,2,None,None,None,2021-04-25T13:00:00Z
Angers,Monaco,0,1,None,None,None,2021-04-25T15:05:00Z
Marseille,Strasbourg,1,1,None,None,None,2021-04-30T19:05:00Z
Lyon,Lille,2,3,None,None,None,2021-04-25T19:00:00Z
Bordeaux,Rennes,1,0,None,None,None,2021-05-02T11:00:00Z
Lille,Nice,2,0,None,None,None,2021-05-01T19:00:00Z
Lorient,Angers,2,0,None,None,None,2021-05-02T13:00:00Z
PSG,Lens,2,1,None,None,None,2021-05-01T15:00:00Z
Dijon,Metz,1,5,None,None,None,2021-05-02T13:00:00Z
Brest,Nantes,1,4,None,None,None,2021-05-02T13:00:00Z
Nimes,Reims,2,2,None,None,None,2021-05-02T13:00:00Z
Montpellier,SaintEtienne,1,2,None,None,None,2021-05-02T15:05:00Z
Lens,Lille,0,3,None,None,None,2021-05-07T19:00:00Z
Monaco,Lyon,2,3,None,None,None,2021-05-02T19:00:00Z
Nantes,Bordeaux,3,0,None,None,None,2021-05-08T11:05:00Z
SaintEtienne,Marseille,1,0,None,None,None,2021-05-09T11:00:00Z
Nice,Brest,3,2,None,None,None,2021-05-09T13:00:00Z
Lyon,Lorient,4,1,None,None,None,2021-05-08T15:00:00Z
Angers,Dijon,3,0,None,None,None,2021-05-09T13:00:00Z
Metz,Nimes,0,3,None,None,None,2021-05-09T13:00:00Z
Strasbourg,Montpellier,2,3,None,None,None,2021-05-09T13:00:00Z
Rennes,PSG,1,1,None,None,None,2021-05-09T19:05:00Z
Reims,Monaco,0,1,None,None,None,2021-05-09T15:05:00Z
Nice,Strasbourg,0,2,None,None,None,2021-05-16T19:00:00Z
Monaco,Rennes,2,1,None,None,None,2021-05-16T19:00:00Z
Nimes,Lyon,2,5,None,None,None,2021-05-16T19:00:00Z
Lorient,Metz,2,1,None,None,None,2021-05-16T19:00:00Z
Dijon,Nantes,0,4,None,None,None,2021-05-16T19:00:00Z
PSG,Reims,4,0,None,None,None,2021-05-16T19:00:00Z
Montpellier,Brest,0,0,None,None,None,2021-05-16T19:00:00Z
Marseille,Angers,3,2,None,None,None,2021-05-16T19:00:00Z
Lille,SaintEtienne,0,0,None,None,None,2021-05-16T19:00:00Z
Bordeaux,Lens,3,0,None,None,None,2021-05-16T19:00:00Z
Rennes,Nimes,2,0,None,None,None,2021-05-23T19:00:00Z
SaintEtienne,Dijon,0,1,None,None,None,2021-05-23T19:00:00Z
Lyon,Nice,2,3,None,None,None,2021-05-23T19:00:00Z
Brest,PSG,0,2,None,None,None,2021-05-23T19:00:00Z
Angers,Lille,1,2,None,None,None,2021-05-23T19:00:00Z
Reims,Bordeaux,1,2,None,None,None,2021-05-23T19:00:00Z
Lens,Monaco,0,0,None,None,None,2021-05-23T19:00:00Z
Nantes,Montpellier,1,2,None,None,None,2021-05-23T19:00:00Z
Strasbourg,Lorient,1,1,None,None,None,2021-05-23T19:00:00Z
Metz,Marseille,1,1,None,None,None,2021-05-23T19:00:00Z
